"","rownb","Subject","Group","Condition","VideoTrial","VideoName","Target","Match","NbMatches","Checked_KS","Comment_KS","Comment_GMM"
"2323",2324,"NS_159","NS","Path",12,"tgm_sactoi","Popi arrastra un saco por encima del tejado de una casa","arrastra:arrastrar_V%por encima:encima_PP",2,"","",""
"2382",2383,"NS_161","NS","Path",5,"tgm_sacdun","Popi sube un saco por una duna de arena","sube:subir_V",1,"","",""
"417",418,"13","L2","Path",20,"pgt_panrou","Popi cruzó la calle con una cesta llena de manzanas","cruzó:cruzar_V",1,"","",""
"2145",2146,"NS_153","NS","Control",32,"pgm_paqtoi","Popi ha subido al tejado de la casa con el regalo ","ha subido:subir_V",1,"","",""
"94",95,"3","L2","Path",27,"pgt_panrue","cruza la calle con las manzanas","cruza:cruzar_V",1,"","",""
"1144",1145,"35","L2","Manner",21,"pge_tabmai","Popi empujó una mesa y entra en un granero","empujó:empujar_V%entra en:entrar_V",2,"","",""
"3324",3325,"NS_189","NS","Manner",23,"trd_brocol","Popi baja una ladera de césped con una carretilla detrás suyo","baja:bajar_V%con una carretilla detrás:detrás/atrás_AdvP",2,"","",""
"313",314,"10","L2","Manner",15,"tre_cadgro","Popi está llevando un carrito a la cueva","está llevando:llevar_V",1,"","",""
"1373",1374,"42","L2","Path",19,"tgt_cherue","Popi cruza la calle arrastrando un caballito de juguete","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"1272",1273,"39","L2","Manner",17,"pge_tabgro","Popi está entrando a la cueva con una mesa","está entrando a:entrar_V",1,"","",""
"1683",1684,"51","L2","Path",32,"prt_rourue","Popi otra vez cruzando el caminito con una rueda","cruzando:cruzando_Ger",1,"","",""
"1777",1778,"54","L2","Control",27,"prd_balnei","él está bajando el colmo [=la colina] con nieve con su balón grandísima en frente de él","está bajando:bajar_V%en frente de él:en-frente_AdvP",2,"","",""
"2732",2733,"NS_171","NS","Path",25,"prm_boudun","Popi sube una cuesta empujando un flotador","sube:subir_V%empujando:empujando_Ger",2,"","",""
"1384",1385,"42","L2","Path",30,"tgd_malcol","Popi baja una colina arrastrando un baúl en una cuerda","baja:bajar_V%en una cuerda:con-una-cuerda_PP%arrastrando:arrastrando_Ger",3,"","",""
"769",770,"24","L2","Path",9,"tgt_cherue","Pepe cruza una calle con un caballo de juego","cruza:cruzar_V",1,"","",""
"535",536,"17","L2","Path",6,"trm_voitoi","Popi sube por un techo con un coche de juguetes en su mano","sube:subir_V",1,"","",""
"393",394,"12","L2","Control",29,"pgm_paqtoi","Popi subió un paquete de regalo empujándoselo delante","subió:subir_V%delante:delante_AdvP%empujándose:empujando_Ger",3,"","",""
"2739",2740,"NS_171","NS","Path",32,"prd_balcol","Popi baja una cuesta con una pelota","baja:bajar_V",1,"","",""
"1036",1037,"32","L2","Path",12,"tgt_cherou","Popi cruza un río de hielo con un caballo de juguete","cruza:cruzar_V",1,"","",""
"3154",3155,"NS_184","NS","Path",18,"tgd_malcol","Popi baja de la colina un baúl","baja:bajar_V",1,"","",""
"1586",1587,"49","L2","Manner",1,"pge_tabgro","Popi está moviendo una mesa en un bosque hasta un cuave","está moviendo:mover_V",1,"","",""
"3877",3878,"NS_207","NS","Path",15,"trd_brocol","Popi baja la carretilla por la ladera","baja:bajar_V",1,"","",""
"2623",2624,"NS_168","NS","Path",15,"prd_balcol","Popi hace deslizar cuesta abajo una pelota de colores","hace deslizar:hacer-deslizar_Vphrase%abajo:abajo_AdvP",2,"","",""
"2209",2210,"NS_155","NS","Control",30,"pgd_valnei","Popi desciende de una montaña de nieve empujando una maleta","desciende:descender_V%empujando:empujando_Ger",2,"","",""
"1375",1376,"42","L2","Path",21,"pgt_panrue","Popi cruza la calle empujando un canasto lleno de manzanas","cruza:cruzar_V%empujando:empujando_Ger",2,"","",""
"3083",3084,"NS_182","NS","Manner",13,"pre_pnegro","Popi rueda una rueda por el campo","rueda:rodar_V",1,"","",""
"1719",1720,"53","L2","Path",2,"trt_pourou","Popi está moviendo un carrito de bebé","está moviendo:mover_V",1,"","",""
"1520",1521,"47","L2","Manner",1,"pre_pnemai","Popi empuja una rueda de carro","empuja:empujar_V",1,"","",""
"1215",1216,"37","L2","Control",26,"pre_pnegro","entra el cueva empujando el ruedo de carro","entra:entrar_V%empujando:empujando_Ger",2,"","",""
"1051",1052,"32","L2","Path",27,"prm_boudun","Popi sube una duna con una rueda inflatable","sube:subir_V",1,"","",""
"1465",1466,"45","L2","Manner",12,"pre_pnemai","el muchacho empuja a una rueda en frente de sí","empuja:empujar_V%en frente de sí:en-frente_AdvP",2,"","",""
"1224",1225,"38","L2","Path",2,"pre_pnemai","Popi está empujando una rueda a través la puerta del granero","está empujando:empujar_V%a través:a-través-de_PP",2,"","",""
"936",937,"29","L2","Path",11,"prm_boudun","el hombre sube una montaña de arena con una rueda de bañar","sube:subir_V",1,"","",""
"758",759,"23","L2","Manner",31,"pgd_valcol","Popi empuja la maleta por una cuesta","empuja:empujar_V",1,"","",""
"1500",1501,"46","L2","Path",14,"pgt_panrou","Popi cruza el camino en el campo con un cesto lleno de manzanas","cruza:cruzar_V",1,"","",""
"476",477,"15","L2","Manner",13,"pre_pnegro","Popi empuja una rueda grande y entra en una cueva a la derecha","empuja:empujar_V%entra en:entrar_V",2,"","",""
"3851",3852,"NS_206","NS","Manner",22,"prm_boutoi","Popi rueda un salvavidas por un tejado","rueda:rodar_V",1,"","",""
"1234",1235,"38","L2","Path",12,"pre_pnegro","el viejo entra en una cueva con una rueda","entra en:entrar_V",1,"","",""
"1631",1632,"50","L2","Control",13,"tgt_cherue","ha estirado un caballo de juguete a través de una calle","ha estirado:estirar_V%a través:a-través-de_PP",2,"","",""
"3056",3057,"NS_181","NS","Path",19,"pgm_paqtoi","Popi sube un tejado con un regalo","sube:subir_V",1,"","",""
"3256",3257,"NS_187","NS","Control",21,"prd_balcol","Popi empuja una pelota de playa bajando una colina","empuja:empujar_V%bajando:bajando_Ger",2,"","",""
"1955",1956,"60","L2","Manner",7,"trd_brocol","Popi acaba de bajar una colina con una carretilla","acaba de bajar:bajar_V",1,"","",""
"3238",3239,"NS_187","NS","Control",3,"tgd_malnei","Popi empuja un baúl encima de un monte que está nevado","empuja:empujar_V%encima:encima_PP",2,"","",""
"2063",2064,"NS_151","NS","Control",16,"prt_rourue","Popi arrastra la rueda de antes pero esta vez hacia el lado contrario","arrastra:arrastrar_V",1,"","",""
"427",428,"13","L2","Path",30,"tre_cadgro","Popi entró con un carrito de comida","entró:entrar_V",1,"","",""
"2747",2748,"NS_172","NS","Manner",7,"pgt_panrue","Popi arrastra un saco de manzanas por la carretera","arrastra:arrastrar_V",1,"","",""
"3518",3519,"NS_195","NS","Path",19,"tgd_malcol","Popi baja un cofre por una ladera","baja:bajar_V",1,"","",""
"3119",3120,"NS_183","NS","Manner",16,"trd_brocol","Popi desciende una colina arrastrando una carretilla","desciende:descender_V%arrastrando:arrastrando_Ger",2,"","",""
"574",575,"18","L2","Control",12,"tgd_malcol","Popi está bajando con un paquete","está bajando:bajar_V",1,"","",""
"367",368,"12","L2","Control",3,"tre_cadmai","Popi entra en una casa arrastrando un carrito de compras detrás","entra en:entrar_V%detrás:detrás/atrás_AdvP%arrastrando:arrastrando_Ger",3,"","",""
"2501",2502,"NS_164","NS","Manner",25,"pgt_panrou","Popi empujó una cesta de manzanas por encima del camino","empujó:empujar_V",1,"","",""
"3441",3442,"NS_193","NS","Control",8,"tgd_malnei","Popi transporta un baúl por la nieve","transporta:transportar_V",1,"","",""
"2522",2523,"NS_165","NS","Manner",13,"trm_voitoi","Popi sube el tejado de una casa llevando un coche de juguete","sube:subir_V%llevando:llevando_Ger",2,"","",""
"2248",2249,"NS_157","NS","Manner",3,"pre_pnegro","Popi rueda su rueda hacia el interior de la cueva","rueda:rodar_V%hacia el interior de la cueva:PREP-el-interior_PP",2,"","",""
"3420",3421,"NS_192","NS","Manner",20,"trm_voidun","Popi ha subido un coche de juguete por una duna","ha subido:subir_V",1,"","",""
"2812",2813,"NS_174","NS","Path",6,"tge_chamai","Popi tiene una silla verde y la mete en casa","mete:meter_V",1,"","",""
"2254",2255,"NS_157","NS","Manner",9,"trd_brocol","Popi baja en la montaña con un carretilla","baja:bajar_V",1,"","",""
"2990",2991,"NS_179","NS","Manner",19,"tgm_sacdun","Popi sube una pendiente de arena un saco","sube:subir_V",1,"","",""
"855",856,"26","L2","Manner",29,"tgm_sactoi","Popi tira una bolsa por una tecla","tira:tirar-de_V",1,"","",""
"1770",1771,"54","L2","Control",20,"pgt_panrou","ahora tiene un celo [=cesto] con muchísimas manzanas y pasa la misma carretera","pasa:pasar_V",1,"","",""
"1305",1306,"40","L2","Manner",17,"tge_chagro","Popi está arrastrando una silla y entra en una cueva","está arrastrando:arrastrar_V%entra en:entrar_V",2,"","",""
"3063",3064,"NS_181","NS","Path",26,"pgm_paqdun","Popi sube un montículo con un regalo","sube:subir_V",1,"","",""
"3171",3172,"NS_185","NS","Manner",2,"tre_cadmai","Popi se ha metido en una granja con un carrito de la compra","ha metido:meter_V",1,"","",""
"1119",1120,"34","L2","Manner",29,"tgm_sacdun","él arrastra un saco arriba la duna","arrastra:arrastrar_V%arriba:arriba_AdvP",2,"","",""
"3760",3761,"NS_203","NS","Control",30,"prd_balnei","Popi empuja una pelota de la playa por la nieve","empuja:empujar_V",1,"","",""
"161",162,"5","L2","Manner",28,"pge_tabmai","el hombre empuja su mesa vieja a una granja y entra","empuja:empujar_V%entra:entrar_V",2,"","",""
"2698",2699,"NS_170","NS","Control",24,"tgm_sacdun","Popi ha subido el saco en la arena","ha subido:subir_V",1,"","",""
"3555",3556,"NS_196","NS","Manner",23,"pgm_paqdun","Popi sube un regalo por una cuesta de arena","sube:subir_V",1,"","",""
"194",195,"6","L2","Path",28,"pgd_valcol","Popi baja una cuesta con una maleta verde","baja:bajar_V",1,"","",""
"3065",3066,"NS_181","NS","Path",28,"tge_chagro","Popi entra en una cueva con una silla","entra en:entrar_V",1,"","",""
"3741",3742,"NS_203","NS","Control",11,"pgm_paqdun","Popi empuja un regalo por la playa","empuja:empujar_V",1,"","",""
"2908",2909,"NS_177","NS","Control",3,"pgd_valcol","Popi baja una maleta por la ladera de la montaña","baja:bajar_V",1,"","",""
"3227",3228,"NS_186","NS","Control",25,"trm_voidun","Popi sube el coche por la colina de arena","sube:subir_V",1,"","",""
"318",319,"10","L2","Manner",20,"trd_brocol","Popi tiras [tira] una cuchara del sierro para abajo","tira:tirar-de_V%para abajo:PREP-abajo_PP",2,"","",""
"1560",1561,"48","L2","Control",8,"tre_cadgro","Popi lleva una maleta de compras a una cueva","lleva:llevar_V",1,"","",""
"545",546,"17","L2","Path",16,"tgt_cherou","Popi cruza la calle con un juguete","cruza:cruzar_V",1,"","",""
"2030",2031,"NS_150","NS","Manner",16,"trd_bronei","Popi lleva un carro por la nieve","lleva:llevar_V",1,"","",""
"345",346,"11","L2","Control",14,"pgt_panrou","Popi está moviendo un cesto lleno de manzanas sobre éste camino","está moviendo:mover_V",1,"","",""
"956",957,"29","L2","Path",31,"tgd_malnei","el hombre baja una montaña con una cosa","baja:bajar_V",1,"","",""
"1758",1759,"54","L2","Control",8,"tge_chamai","ahora el Popi ha cogido una silla para ponerlo en el almacén de su casa","cog:coger_V",1,"","",""
"502",503,"16","L2","Manner",6,"pre_pnegro","Popi está entrando en un cueva con una rueda de coche o de tractor","está entrando en:entrar_V",1,"","",""
"218",219,"7","L2","Control",19,"prm_boudun","Popi ha traído la juguete a la playa por las dunas","traído:traer_V",1,"","",""
"1967",1968,"60","L2","Manner",19,"prd_balcol","Popi ha rodado una pelota inflable bajando una colina","ha rodado:rodar_V%bajando:bajando_Ger",2,"","",""
"883",884,"27","L2","Control",24,"tgd_malnei","Popi va bajando una cuesta nevada arrastrando un baúl negro","va:ir_V%arrastrando:arrastrando_Ger%bajando:bajando_Ger",3,"","",""
"1638",1639,"50","L2","Control",20,"tgd_malnei","ha bajado una colina nevada estirando un baúl","ha bajado:bajar_V%estirando:estirando_Ger%tirando:tirando-de_Ger",3,"","",""
"2903",2904,"NS_176","NS","Path",31,"tgd_malnei","Popi baja la cuesta con un cofre","baja:bajar_V",1,"","",""
"2005",2006,"NS_1","NS","Control",24,"pgd_valnei","ha bajado por una ladera nevada empujando una maleta","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"63",64,"2","L2","Control",29,"pre_pnemai","caminó con una rueda y entró una puerta rojo [=roja] con esto","caminó:caminar_V%entró:entrar_V",2,"","",""
"2450",2451,"NS_163","NS","Path",7,"tre_cadmai","Popi entra por una puerta con un carro","entra:entrar_V",1,"","",""
"1251",1252,"38","L2","Path",29,"tgm_sacdun","el hombre está subiendo con un saco","está subiendo:subir_V",1,"","",""
"5",6,"1","L2","Manner",4,"pgm_paqdun","Popi ha empujado un paquete","ha empujado:empujar_V",1,"","",""
"2185",2186,"NS_155","NS","Control",6,"trm_voitoi","Popi sube sobre un tejado de una casa tiene un coche de juguete","sube:subir_V",1,"","",""
"2693",2694,"NS_170","NS","Control",19,"pre_pnemai","Popi ha metido la rueda por la puerta","ha metido:meter_V",1,"","",""
"3418",3419,"NS_192","NS","Manner",18,"prt_rourou","Popi ha rodado una rueda por el río","ha rodado:rodar_V",1,"","",""
"2201",2202,"NS_155","NS","Control",22,"tgd_malnei","Popi desciende sobre una montaña de nieve con un baúl cargado","desciende:descender_V",1,"","",""
"1525",1526,"47","L2","Manner",6,"pge_tabgro","Popi entra en una cueva empujando una mesa","entra en:entrar_V%empujando:empujando_Ger",2,"","",""
"718",719,"22","L2","Path",24,"prm_boudun","Popi sube la duna con esta cosa de plástico y inflable","sube:subir_V",1,"","",""
"3677",3678,"NS_200","NS","Manner",13,"pge_tabgro","Popi empuja una mesa hasta una cueva","empuja:empujar_V%hasta una cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"1860",1861,"57","L2","Path",11,"prm_boutoi","el Popi sube un tejado con un flotador","sube:subir_V",1,"","",""
"2095",2096,"NS_152","NS","Control",15,"prt_rourou","Popi arrastra una rueda pasando por una carretera","arrastra:arrastrar_V%pasando:pasando_Ger",2,"","",""
"3509",3510,"NS_195","NS","Path",10,"prt_rourou","Popi cruza con una rueda","cruza:cruzar_V",1,"","",""
"176",177,"6","L2","Path",10,"pge_tabmai","Popi entra en el establo con una mesa de madera","entra en:entrar_V",1,"","",""
"3253",3254,"NS_187","NS","Control",18,"prt_rourou","Popi mueve una rueda por un camino","mueve:mover_V",1,"","",""
"3062",3063,"NS_181","NS","Path",25,"pre_pnemai","Popi entra en un local con una rueda","entra en:entrar_V",1,"","",""
"1582",1583,"48","L2","Control",30,"tgd_malnei","Popi baja un baúl de una cuesta de nieve","baja:bajar_V",1,"","",""
"3398",3399,"NS_191","NS","Manner",31,"pgm_paqdun","Popi empuja un regalo por una playa","empuja:empujar_V",1,"","",""
"1657",1658,"51","L2","Path",6,"tgt_cherou","Popi cruza un caminito con un juguete de caballo","cruza:cruzar_V",1,"","",""
"3436",3437,"NS_193","NS","Control",3,"tgm_sactoi","Popi sube un saco hacia el tejado de una casa","sube:subir_V",1,"","",""
"2539",2540,"NS_165","NS","Manner",30,"trd_bronei","Popi baja una ladera nevada llevando una carretilla","baja:bajar_V%llevando:llevando_Ger",2,"","",""
"1640",1641,"50","L2","Control",22,"pgd_valnei","ha bajado una colina nevada empujando a una maleta","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"2494",2495,"NS_164","NS","Manner",18,"tre_cadgro","Popi lleva el carrito de la compra a una cueva","lleva:llevar_V",1,"","",""
"24",25,"1","L2","Manner",23,"tgm_sactoi","Popi ha tirado un saco en el techo","ha tirado:tirar-de_V",1,"","",""
"3364",3365,"NS_190","NS","Control",30,"trt_pourou","Popi está tirando de un carrito de bebé hacia el otro lado de la carretera","está tirando de:tirar-de_V%hacia el otro lado de la carretera:PREP-otro-lado_PP",2,"","",""
"1452",1453,"44","L2","Control",32,"trd_brocol","Popi baja la cuesta con un carrito","baja:bajar_V",1,"","",""
"2721",2722,"NS_171","NS","Path",14,"pgm_paqtoi","Popi sube un tejado empujando un regalo","sube:subir_V%empujando:empujando_Ger",2,"","",""
"3800",3801,"NS_205","NS","Path",4,"trd_bronei","Popi baja una colina de nieve con una carretilla en su espalda","baja:bajar_V",1,"","",""
"76",77,"3","L2","Path",9,"pgm_paqtoi","está subiendo un paquete al techo","está subiendo:subir_V",1,"","",""
"1256",1257,"39","L2","Manner",1,"prd_balnei","Popi está bajando una falda con un balón inflado","está bajando:bajar_V",1,"","",""
"1792",1793,"55","L2","Manner",9,"pgt_panrou","Popi empuja una cesta por el bosque","empuja:empujar_V",1,"","",""
"3426",3427,"NS_192","NS","Manner",26,"pgm_paqdun","Popi ha subido un regalo a una duna","ha subido:subir_V",1,"","",""
"1759",1760,"54","L2","Control",9,"trm_voitoi","el Popi ahora tiene un automóvil para los niños y sube por el tejado de su casa","sube:subir_V",1,"","",""
"680",681,"21","L2","Path",19,"pgm_paqtoi","Popi está subiendo el techo de la casa con un paquete","está subiendo:subir_V",1,"","",""
"1366",1367,"42","L2","Path",12,"pgm_paqdun","Popi sube una duna en la playa empujando un paquete","sube:subir_V%empujando:empujando_Ger",2,"","",""
"3434",3435,"NS_193","NS","Control",1,"trm_voidun","Popi ha subido un carro por una cuesta de arena en la playa","ha subido:subir_V",1,"","",""
"1548",1549,"47","L2","Manner",29,"tre_cadgro","Popi entra en una cueva con un bolso de compras","entra en:entrar_V",1,"","",""
"1404",1405,"43","L2","Control",17,"tge_chamai","Popi ha llevado una silla verde dentro de una casa","ha llevado:llevar_V%dentro:(a)dentro_AdvP",2,"","",""
"782",783,"24","L2","Path",22,"prd_balcol","Pepe baja una colina con una pelota inflantible","baja:bajar_V",1,"","",""
"796",797,"25","L2","Control",3,"tre_cadgro","Popi ha entrado en la cueva ","ha entrado en:entrar_V",1,"","",""
"2999",3000,"NS_179","NS","Manner",28,"prd_balnei","Popi baja la pendiente de nieve rodando una pelota","baja:bajar_V",1,"","",""
"2550",2551,"NS_166","NS","Path",8,"tre_cadgro","Popi arrastra un carro de compra dentro de una cueva","arrastra:arrastrar_V%dentro:(a)dentro_AdvP",2,"","",""
"1532",1533,"47","L2","Manner",13,"trt_pourue","Popi cruza una calle con un carrito de bebé","cruza:cruzar_V",1,"","",""
"735",736,"23","L2","Manner",8,"prm_boutoi","Popi rueda el flotador por el techo","rueda:rodar_V",1,"","",""
"403",404,"13","L2","Path",6,"tgt_cherou","Popi está cruzando la calle con un caballo de juguete","está cruzando:cruzar_V",1,"","",""
"2033",2034,"NS_150","NS","Manner",19,"pge_tabmai","Popi empuja una mesa hacia dentro de una casa","empuja:empujar_V%hacia dentro:PREP-(a)dentro_PP",2,"","",""
"314",315,"10","L2","Manner",16,"prd_balnei","Popi empuja una pelota para abajo","empuja:empujar_V%para abajo:PREP-abajo_PP",2,"","",""
"3639",3640,"NS_199","NS","Manner",8,"pre_pnegro","Popi gira una rueda adentro de una cueva","gira:girar_V%adentro:(a)dentro_AdvP",2,"","",""
"3656",3657,"NS_199","NS","Manner",25,"prm_boutoi","Popi rueda un flotador hasta lo alto de la casa","rueda:rodar_V%hasta lo alto:PREP-lo-alto_PP",2,"","",""
"2995",2996,"NS_179","NS","Manner",24,"tgt_cherou","Popi cruza la calle junto con su caballito de madera","cruza:cruzar_V",1,"","",""
"1127",1128,"35","L2","Manner",4,"pgm_paqtoi","Popi sube un tejado empujando un paquete","sube:subir_V%empujando:empujando_Ger",2,"","",""
"3159",3160,"NS_184","NS","Path",23,"tgm_sactoi","Popi sube el tejado con un saco","sube:subir_V",1,"","",""
"375",376,"12","L2","Control",11,"tge_chagro","Popi entró en una cueva arrastrando una silla","entró en:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"1391",1392,"43","L2","Control",4,"tgm_sacdun","Popi ha tirado un saco sobre una duna","ha tirado:tirar-de_V",1,"","",""
"1289",1290,"40","L2","Manner",1,"tge_chamai","Popi está arrastrando una silla a la granja","está arrastrando:arrastrar_V",1,"","",""
"1766",1767,"54","L2","Control",16,"tgm_sactoi","Popi está ahora subiendo por el tejado con el saco","está ahora subiendo:subir_V%subiendo:subiendo_Ger",2,"","",""
"2667",2668,"NS_169","NS","Path",26,"tgm_sacdun","Popi sube una duna con un saco","sube:subir_V",1,"","",""
"707",708,"22","L2","Path",13,"pgm_paqdun","Popi sube la duna con un regalo","sube:subir_V",1,"","",""
"3520",3521,"NS_195","NS","Path",21,"trd_brocol","Popi baja la carretilla por la ladera","baja:bajar_V",1,"","",""
"1996",1997,"NS_1","NS","Control",15,"pgt_panrou","ha cruzado un camino campestre empujando una cesta llena de manzanas","ha cruzado:cruzar_V%empujando:empujando_Ger",2,"","",""
"258",259,"8","L2","Manner",26,"pge_tabmai","Popi empuja la mesa dentro de las puertas","empuja:empujar_V%dentro:(a)dentro_AdvP",2,"","",""
"3283",3284,"NS_188","NS","Control",15,"trd_brocol","Popi ha tirado de una carretilla bajando una ladera","ha tirado de:tirar-de_V%bajando:bajando_Ger",2,"","",""
"3519",3520,"NS_195","NS","Path",20,"prm_boutoi","Popi sube el flotador por el tejado","sube:subir_V",1,"","",""
"2409",2410,"NS_161","NS","Path",32,"prm_boutoi","Popi sube a un tejado con un flotador","sube:subir_V",1,"","",""
"1827",1828,"56","L2","Control",11,"trm_voidun","Popi ha subido un juguete que es un coche de niños a una cuesta al lado del mar","ha subido:subir_V",1,"","",""
"2301",2302,"NS_158","NS","Control",23,"pge_tabmai","mete una mesa dentro de la granja","mete:meter_V%dentro:(a)dentro_AdvP",2,"","",""
"3021",3022,"NS_180","NS","Path",17,"pre_pnegro","Popi lleva una rueda dentro de la cueva","lleva:llevar_V%dentro:(a)dentro_AdvP",2,"","",""
"2831",2832,"NS_174","NS","Path",25,"tgm_sacdun","Popi sube la duna con un saco","sube:subir_V",1,"","",""
"3473",3474,"NS_194","NS","Manner",7,"pre_pnegro","Popi rueda un neumático al interior de una cueva","rueda:rodar_V%al interior de una cueva:PREP-el-interior_PP",2,"","",""
"2817",2818,"NS_174","NS","Path",11,"pre_pnegro","Popi introduce en la cueva una rueda","introduce:introducir_V",1,"","",""
"1349",1350,"41","L2","Path",28,"trd_bronei","Popi bajó la colina de nieve con el carrito","bajó:bajar_V",1,"","",""
"1445",1446,"44","L2","Control",25,"pre_pnegro","Popi está entrando en la cueva con la rueda del coche","está entrando en:entrar_V",1,"","",""
"123",124,"4","L2","Control",23,"tgt_cherue","Popi ha traído el caballo de juguete sobre el camino","traído:traer_V",1,"","",""
"1534",1535,"47","L2","Manner",15,"pgt_panrou","Popi cruza una calle con una cesta de manzanas","cruza:cruzar_V",1,"","",""
"1293",1294,"40","L2","Manner",5,"tgt_cherou","Popi está arrastrando un caballo un juguete por la calle","está arrastrando:arrastrar_V",1,"","",""
"3659",3660,"NS_199","NS","Manner",28,"pgd_valcol","Popi empuja una maleta colina abajo","empuja:empujar_V%abajo:abajo_AdvP",2,"","",""
"3321",3322,"NS_189","NS","Manner",20,"trm_voitoi","Popi sube al tejado de su casa en el bosque mientras arrastra un coche de juguetes azul gigante con una cuerda","sube:subir_V%con una cuerda:con-una-cuerda_PP%mientras arrastra:arrastrar_SubordV",3,"","",""
"997",998,"31","L2","Control",6,"tgm_sacdun","el Popi carga un saco sobre el sable [=la arena] hasta el cima de la duna al lado del mar","carga:cargar_V%hasta el cima:PREP-la-cima_PP",2,"","",""
"1946",1947,"59","L2","Control",31,"tgt_cherue","Popi ha cruzado una calle con un caballo de juguete","ha cruzado:cruzar_V",1,"","",""
"1913",1914,"58","L2","Manner",31,"tgt_cherue","Popi arrastra un caballo de juguete por la calle","arrastra:arrastrar_V",1,"","",""
"2830",2831,"NS_174","NS","Path",24,"prd_balcol","Popi baja la pelota por la ladera","baja:bajar_V",1,"","",""
"1069",1070,"33","L2","Control",12,"pge_tabmai","Popi mueve una mesa ","mueve:mover_V",1,"","",""
"1890",1891,"58","L2","Manner",8,"pge_tabmai","Popi empuja una mesa por un patio","empuja:empujar_V",1,"","",""
"917",918,"28","L2","Manner",25,"pgm_paqtoi","Popi subió un regalo por el techo","subió:subir_V",1,"","",""
"667",668,"21","L2","Path",6,"pre_pnemai","Popi tiene una rueda grande y lo está cargando a la casa","está cargando:cargar_V",1,"","",""
"3604",3605,"NS_198","NS","Control",6,"tgd_malnei","Popi va por la nieve arrastrando un baúl","va:ir_V%arrastrando:arrastrando_Ger",2,"","",""
"2541",2542,"NS_165","NS","Manner",32,"pre_pnemai","Popi rodando un neumático entra en un establo","entra en:entrar_V",1,"","",""
"361",362,"11","L2","Control",30,"prd_balcol","Popi bajó la loma en mitad del bosque con una pelota inflable de plástico","bajó:bajar_V",1,"","",""
"2398",2399,"NS_161","NS","Path",21,"tgd_malcol","Popi baja una cuesta con una caja","baja:bajar_V",1,"","",""
"1678",1679,"51","L2","Path",27,"trm_voitoi","Popi sube un techo hasta la loma con un carro de juguete","sube:subir_V",1,"","",""
"1183",1184,"36","L2","Control",27,"tgm_sactoi","Popi ha subido al techo con una bolsa llena de manzanas","ha subido:subir_V",1,"","",""
"1064",1065,"33","L2","Control",7,"pgd_valnei","Popi mueve una maleta en una montaña","mueve:mover_V",1,"","",""
"2139",2140,"NS_153","NS","Control",26,"pgd_valcol","Popi bajaba el campo acompañado de una maleta grande de color azul oscuro","bajaba:bajar_V",1,"","",""
"1954",1955,"60","L2","Manner",6,"tgm_sactoi","Popi ha subido por el tejado con un saco","ha subido:subir_V",1,"","",""
"2040",2041,"NS_150","NS","Manner",26,"prd_balnei","Popi lleva una pelota colina abajo","lleva:llevar_V%abajo:abajo_AdvP",2,"","",""
"3377",3378,"NS_191","NS","Manner",10,"trt_pourue","Popi lleva un carrito de bebé","lleva:llevar_V",1,"","",""
"2672",2673,"NS_169","NS","Path",31,"trm_voitoi","Popi sube un desnivel con un coche","sube:subir_V",1,"","",""
"1733",1734,"53","L2","Path",16,"tgt_cherue","Popi cruza la calle con un juguete","cruza:cruzar_V",1,"","",""
"2585",2586,"NS_167","NS","Manner",10,"prm_boutoi","Popi rueda un flotador por el tejado","rueda:rodar_V",1,"","",""
"3910",3911,"NS_208","NS","Manner",15,"tge_chagro","Popi arrastra una silla verde hacia una cueva oscura","arrastra:arrastrar_V%hacia una cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"2051",2052,"NS_151","NS","Control",4,"pge_tabgro","Popi arrastra consigo la mesa en otro lugar","arrastra:arrastrar_V",1,"","",""
"895",896,"28","L2","Manner",3,"tge_chagro","Popi entró a una cueva con una silla","entró a:entrar_V",1,"","",""
"1944",1945,"59","L2","Control",29,"pgd_valnei","Popi ha bajado una maleta por una colina cubierta de nieve","ha bajado:bajar_V",1,"","",""
"1423",1424,"44","L2","Control",3,"pge_tabgro","Popi ha empujado una mesa dentro de la cueva","ha empujado:empujar_V%dentro:(a)dentro_AdvP",2,"","",""
"540",541,"17","L2","Path",11,"prd_balnei","Popi baja con una pelota por una montaña","baja:bajar_V",1,"","",""
"1970",1971,"60","L2","Manner",22,"trd_bronei","Popi ha bajado una colina nevada con una carretilla","ha bajado:bajar_V",1,"","",""
"2423",2424,"NS_162","NS","Path",13,"tge_chamai","Popi entra al granero tirando de una silla","entra a:entrar_V%tirando de:tirando-de_Ger",2,"","",""
"3341",3342,"NS_190","NS","Control",7,"trm_voitoi","Popi está cargando con un coche por el tejado de una casa","está cargando:cargar_V",1,"","",""
"3327",3328,"NS_189","NS","Manner",26,"pge_tabgro","Popi empuja arrastrando una mesa a lo largo del bosque y la mete dentro de una cueva","empuja:empujar_V%mete:meter_V%dentro:(a)dentro_AdvP%arrastrando:arrastrando_Ger",4,"","",""
